Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
JPN,Japan,CO2 emissions (kt),1219281.1670000001,1201331.202,1218980.473,1240953.137,1262394.086,1240945.803,1234755.9070000001,1251554.4340000001,1211756.483,1105314.4740000002,1172611.258,1190469.548,1229622.107,1244616.47,1206674.021,1163803.124
KAZ,Kazakhstan,CO2 emissions (kt),118099.40199999999,131850.652,133735.49,142209.927,173053.06399999998,177328.78600000002,192631.177,222348.545,232806.829,213338.72600000002,248549.26,259058.88199999998,242971.753,262846.893,248395.246,242091.673
KEN,Kenya,CO2 emissions (kt),10417.947,9369.185,7968.391,6754.6140000000005,7623.693,8562.445,9574.537,9831.226999999999,10241.931,12354.123,12174.44,13457.89,12541.14,13333.212,14436.979,17018.547
KGZ,Kyrgyz Republic,CO2 emissions (kt),4635.088,3894.3540000000003,4957.784000000001,5438.161,5874.534000000001,5592.175,5507.834,6629.936,7660.363,6791.284000000001,6384.246999999999,7656.696,10131.921,9842.228000000001,10289.601999999999,10447.283000000001
KHM,Cambodia,CO2 emissions (kt),1976.513,2251.538,2207.534,2379.883,2445.889,2775.9190000000003,2999.6059999999998,3465.315,3898.0209999999997,4679.092000000001,5126.465999999999,5218.141,5456.496,5603.1759999999995,6684.941,8628.451
KIR,Kiribati,CO2 emissions (kt),33.003,29.336,40.336999999999996,44.004,47.67100000000001,58.672,66.006,58.672,66.006,55.005,58.672,55.005,51.338,51.338,58.672,62.339
KNA,St. Kitts and Nevis,CO2 emissions (kt),172.34900000000002,176.016,198.018,198.018,212.68599999999998,198.018,201.685,216.35299999999998,216.35299999999998,223.687,220.02,231.021,220.02,223.687,231.021,234.688
KOR,"Korea, Rep.",CO2 emissions (kt),447561.01700000005,450193.92299999995,465631.99299999996,466215.04600000003,482276.506,462918.41299999994,470655.783,495675.724,507589.80700000003,508862.256,566716.515,589400.577,583966.083,592499.192,587156.373,597354.3
KWT,Kuwait,CO2 emissions (kt),53560.202000000005,57641.573,58228.293,59922.447,63534.442,71546.837,73769.039,75235.839,82731.187,87303.936,89625.147,86658.54400000001,100516.13699999999,94821.286,88371.03300000001,92984.119
LAO,Lao PDR,CO2 emissions (kt),968.0880000000001,1070.764,1188.108,1243.113,1305.452,1364.124,1796.83,1877.504,2174.531,2783.2529999999997,3142.619,3325.969,3582.659,4184.0470000000005,4554.414000000001,9046.489
LBN,Lebanon,CO2 emissions (kt),15247.386,16171.47,16002.788,18180.986,16798.527,16208.14,14458.981000000002,13461.556999999999,17227.566000000003,20872.564,20047.488999999998,20469.194,22632.724,22581.386000000002,24070.188,24469.891
LBR,Liberia,CO2 emissions (kt),429.039,454.708,440.04,469.376,557.384,671.061,689.3960000000001,645.3919999999999,546.383,484.04400000000004,770.07,861.745,979.0889999999999,898.415,1224.778,1239.4460000000001
LBY,Libya,CO2 emissions (kt),47113.615999999995,48100.039000000004,47832.348,49167.136,50358.91099999999,52108.07,53270.509000000005,49959.208,56013.425,57978.937000000005,61961.299000000006,39702.609,52683.789000000004,56266.448,59489.740999999995,56996.181
LCA,St. Lucia,CO2 emissions (kt),348.365,348.365,289.693,359.366,355.699,366.7,366.7,385.035,396.036,385.035,403.37,407.037,407.037,407.037,407.037,410.704
LKA,Sri Lanka,CO2 emissions (kt),10238.264000000001,10443.616,11056.005,11078.007,12299.118,12101.1,11976.421999999999,12354.123,12207.443000000001,13175.531,13263.538999999999,15137.376,16061.46,14913.688999999998,17924.296000000002,20113.495
LSO,Lesotho,CO2 emissions (kt),1851.835,1877.504,1906.84,1932.509,1983.8470000000002,2013.183,2038.852,2075.522,2126.86,2218.535,2277.2070000000003,2328.545,2398.218,2423.887,2431.221,2346.88
LTU,Lithuania,CO2 emissions (kt),12163.438999999998,12885.838,13142.528,12823.499,13245.204,13901.597,14158.287,15166.712,15009.031,12519.138,13468.891000000001,13787.92,13831.923999999999,12640.149,12838.167,13083.856000000002
LUX,Luxembourg,CO2 emissions (kt),8239.749,8800.8,9416.856,9904.567,11268.691,11547.383,11349.365,11019.335,10938.661,10392.278,10967.997,10894.657,10593.963,10051.247,9662.545,9251.841
LVA,Latvia,CO2 emissions (kt),6351.244000000001,6985.635,6912.295,7370.67,7403.673000000001,7506.349,8012.395,8316.756,7902.385,7231.3240000000005,8074.734,7293.6630000000005,7062.642,7080.977,6926.963000000001,7007.637
MAC,"Macao SAR, China",CO2 emissions (kt),1631.815,1686.82,1518.138,1532.806,1716.156,1829.8329999999999,1620.8139999999999,1364.124,1133.103,1892.172,1235.779,1510.8039999999999,1345.789,1272.4489999999998,1576.81,2090.19
MAR,Morocco,CO2 emissions (kt),33905.082,37715.095,38254.144,37561.081,43310.937000000005,45771.494000000006,47425.310999999994,50267.236,52900.142,52482.10400000001,55958.42,56699.154,59273.388,58987.362,59882.11,61271.903
MDA,Moldova,CO2 emissions (kt),3512.986,3714.671,3986.0290000000005,4290.39,4554.414000000001,4895.445,4994.454000000001,4679.092000000001,4778.101,4550.747,4932.115,5020.123,4924.781,4998.121,4928.448,4943.116
MDG,Madagascar,CO2 emissions (kt),1873.8370000000002,1741.825,1235.779,1701.4879999999998,1807.8310000000001,1741.825,1683.1529999999998,1815.165,1888.505,1771.161,1958.1779999999999,2401.885,2768.585,3171.955,3300.3,3644.998
MDV,Maldives,CO2 emissions (kt),451.041,462.042,594.054,506.046,667.3939999999999,601.388,759.069,781.071,843.41,883.747,935.085,986.423,1111.101,1092.766,1316.453,1301.785
MEX,Mexico,CO2 emissions (kt),398382.88,412977.54,414389.335,440208.68200000003,441308.782,466361.726,479251.231,480520.013,493251.83700000006,475950.93100000004,464308.206,484429.035,496324.783,490340.239,481499.102,482947.56700000004
MHL,Marshall Islands,CO2 emissions (kt),99.009,102.676,110.01,106.34299999999999,117.344,113.677,121.01100000000001,124.678,128.345,132.012,135.679,139.346,135.679,139.346,143.013,143.013
MKD,North Macedonia,CO2 emissions (kt),12064.43,11998.423999999999,10934.993999999999,11309.028,11191.684,11279.692,10938.661,9493.863000000001,9402.188,8698.124,8602.782,9306.846,8815.468,7858.380999999999,7539.352,7099.312
MLI,Mali,CO2 emissions (kt),832.409,839.743,858.078,858.078,891.081,916.75,1081.765,1298.118,1558.475,1785.829,1976.513,2159.863,2299.209,2698.9120000000003,2981.2709999999997,3168.288
MLT,Malta,CO2 emissions (kt),2115.859,2486.226,2299.209,2581.5679999999998,2574.234,2698.9120000000003,2574.234,2724.5809999999997,2559.5660000000003,2478.8920000000003,2559.5660000000003,2548.565,2680.577,2346.88,2346.88,1620.8139999999999
MMR,Myanmar,CO2 emissions (kt),10087.917,8723.793,9207.837,9845.895,12434.796999999999,11595.053999999998,12852.835,12874.837,9809.225,10241.931,13157.196000000002,15144.71,12024.093,13083.856000000002,16347.486,22299.027000000002
